source,source_status,target,target_status,source_entry
Bartholomeus Van der Meren,dean,Carel Van den Steen,dean,00001599A
Bartholomeus Van der Meren,dean,Jan Van Ponberghe,dean,00001599A
Carel Van den Steen,dean,Jan Van Ponberghe,dean,00001599A
Abraham Gyoryns,masters sons,Jan Gyoryns,master,00001599C
Fernand Bert,master,Nicolaes Van Zeunen,apprentice,00001599D
Denys Van Alsloot,master,Francois De Sainctsaule,apprentice,00001599E
Francois De Godts,master,Philips Britseels,apprentice,00001599F
Carel Lambrechts,dean,Hieronymus Van Orley,dean,00001600A
Carel Lambrechts,dean,Nicolaes Van Rillaert,dean,00001600A
Hieronymus Van Orley,dean,Nicolaes Van Rillaert,dean,00001600A
Jacques De Vries,master,Philips Matthys,apprentice,00001600B
Bartholomeus Van der Meren,master,Christoffel Regybus,apprentice,00001600C
Carel Lambrechts,master,Willem Van Gent,apprentice,00001600D
Francois De Streu,apprentice,Peter Noveliers,master,00001600E
Daniel Ficquaert,apprentice,Jan Gotemans,master,00001600F
Carel Lambrechts,master,Joris Storm,apprentice,00001600G
Carel Lambrechts,dean,Hieronymus Van Orley,dean,1601
Carel Lambrechts,dean,Nicolaes Van Rillaert,dean,1601
Hieronymus Van Orley,dean,Nicolaes Van Rillaert,dean,1601
Jacques De Fayter,dean,Jan Van Bronckhorst,dean,00001602A
Jacques De Fayter,dean,Lenard Wauwermans,dean,00001602A
Jan Van Bronckhorst,dean,Lenard Wauwermans,dean,00001602A
Antoon Waelrant,apprentice,Gilbert Van Weenen,master,00001602B
Nicolaes Mertens,dean,Philips Van Bentem,dean,00001603A
Cornelis De Bloyer,dean,Nicolaes Mertens,dean,00001603A
Cornelis De Bloyer,dean,Philips Van Bentem,dean,00001603A
Gillis Claessens,master,Jan Baptist Grondone,apprentice,00001603B
Bartholomeus Van der Meren,master,Hans Clunebris,apprentice,00001603C
Adriaen Van Zinnick,master,Aert Bleter,apprentice,00001604A
Adriaen Berckay,apprentice,Lenard Wauwermans,master,00001604B
Denys Van Alsloot,master,Peter Van der Borcht,apprentice,00001604C
Nicolaes Mertens,dean,Philips Van Bentem,dean,00001604D
Cornelis De Bloyer,dean,Nicolaes Mertens,dean,00001604D
Cornelis De Bloyer,dean,Philips Van Bentem,dean,00001604D
Antoon Sammori,apprentice,Gillis Claessens,master,00001604E
Francois Tons,dean,Jan De Kemp,dean,1605
Francois Tons,dean,Willem Van Worms,dean,1605
Jan De Kemp,dean,Willem Van Worms,dean,1605
Jacques De Fayter,dean,Nicolaes Van Rillaert,dean,1606
Adriaen Van Zinnick,dean,Jacques De Fayter,dean,1606
Adriaen Van Zinnick,dean,Nicolaes Van Rillaert,dean,1606
Cornelis De Bloyer,dean,Jacques De Fayter,dean,1607
Cornelis De Bloyer,dean,Jan Mattheus,dean,1607
Jacques De Fayter,dean,Jan Mattheus,dean,1607
Carel Van den Steen,dean,Jan Trippaert,dean,1608
Carel Van den Steen,dean,Jan Van Botbergh,dean,1608
Jan Trippaert,dean,Jan Van Botbergh,dean,1608
Jacques De Fayter,dean,Jan Gotemans,dean,1609
Jacques De Fayter,dean,Wouter Jacobs,dean,1609
Jan Gotemans,dean,Wouter Jacobs,dean,1609
Antoon Van der Meren,dean,Hans Mennens,dean,00001610A
Antoon Van der Meren,dean,Willem Van Worms,dean,00001610A
Hans Mennens,dean,Willem Van Worms,dean,00001610A
Carel Herssel,apprentice,David Noveliers,master,00001610B
Denys Van Alsloot,master,Willem De Moy,apprentice,00001611A
Jan Van Botbergh,dean,Nicolaes Mertens,dean,00001611B
Francois Van Schuddeput,dean,Jan Van Botbergh,dean,00001611B
Francois Van Schuddeput,dean,Nicolaes Mertens,dean,00001611B
Jan De Kemp,dean,Jan Mattheus,dean,1612
Augustyn Van der Venne,dean,Jan De Kemp,dean,1612
Augustyn Van der Venne,dean,Jan Mattheus,dean,1612
Cornelis De Bloyer,dean,Jan Gotemans,dean,1613
Carel Van den Steen,dean,Cornelis De Bloyer,dean,1613
Carel Van den Steen,dean,Jan Gotemans,dean,1613
Gaspar De Craeyer,dean,Jacques Regaets,dean,1614
Gaspar De Craeyer,dean,Nicolaes Mertens,dean,1614
Jacques Regaets,dean,Nicolaes Mertens,dean,1614
Nicolaes Mertens,dean,Willem Van Worms,dean,1615
Gaspar De Craeyer,dean,Nicolaes Mertens,dean,1615
Gaspar De Craeyer,dean,Willem Van Worms,dean,1615
Adriaen Van Zinnick,dean,Jan Bauwens,dean,1616
Adriaen Van Zinnick,dean,Jan Trippaert,dean,1616
Jan Bauwens,dean,Jan Trippaert,dean,1616
Carel Van den Steen,dean,Jan Mattheus,dean,1617
Carel Van den Steen,dean,Maerten Heunis,dean,1617
Jan Mattheus,dean,Maerten Heunis,dean,1617
Antoon Van der Meren,dean,Michiel De Bordeaux,dean,1618
Antoon Van der Meren,dean,Wouter Jacobs,dean,1618
Michiel De Bordeaux,dean,Wouter Jacobs,dean,1618
Augustyn Van der Venne,dean,Gillis Leyniers,dean,1619
Augustyn Van der Venne,dean,Nicolaes Mertens,dean,1619
Gillis Leyniers,dean,Nicolaes Mertens,dean,1619
Jan Bauwens,dean,Jan Trippaert,dean,1620
Gerard Van Hoochstadt,dean,Jan Bauwens,dean,1620
Gerard Van Hoochstadt,dean,Jan Trippaert,dean,1620
Carel Van den Steen,dean,Jan Mattheus,dean,1621
Carel Van den Steen,dean,Willem Maheu,dean,1621
Jan Mattheus,dean,Willem Maheu,dean,1621
Jan De Paege,dean,Maerten Heunis,dean,1623
Gaspar Van Schoor,dean,Jan De Paege,dean,1623
Gaspar Van Schoor,dean,Maerten Heunis,dean,1623
Dominicus Seghers,dean,Gillis Leyniers,dean,1624
Dominicus Seghers,dean,Nicolaes Mertens,dean,1624
Gillis Leyniers,dean,Nicolaes Mertens,dean,1624
Carel Van den Steen,dean,Francois Van Obberghen,dean,1625
Carel Van den Steen,dean,Maximiliaen Van der Elst,dean,1625
Francois Van Obberghen,dean,Maximiliaen Van der Elst,dean,1625
Antoon Van Opstal,dean,Jan Mattheus,dean,1626
Antoon Van Opstal,dean,Jan Van Rillaert,dean,1626
Jan Mattheus,dean,Jan Van Rillaert,dean,1626
Jan Vaillant,dean,Maerten Heunis,dean,1628
Cornelis Van Bronckhorst,dean,Jan Vaillant,dean,1628
Cornelis Van Bronckhorst,dean,Maerten Heunis,dean,1628
Jan Vaillant,dean,Maerten Heunis,dean,1629
Cornelis Van Bronckhorst,dean,Jan Vaillant,dean,1629
Cornelis Van Bronckhorst,dean,Maerten Heunis,dean,1629
Gerard Van Hoochstadt,dean,Jan De Paege,dean,1630
Gerard Van Hoochstadt,dean,Wouter Jacobs,dean,1630
Jan De Paege,dean,Wouter Jacobs,dean,1630
Jan Mattheus,dean,Jan Van Rillaert,dean,1631
Jan Claerbodts,dean,Jan Mattheus,dean,1631
Jan Claerbodts,dean,Jan Van Rillaert,dean,1631
Antoon Sallaert,dean,Carel Van den Steen,dean,1633
Antoon Sallaert,dean,Lucas De Kemp,dean,1633
Carel Van den Steen,dean,Lucas De Kemp,dean,1633
Jan Claerbodts,dean,Severyn Diertyts,dean,1636
Jan Bauwens,dean,Jan Claerbodts,dean,1636
Jan Bauwens,dean,Severyn Diertyts,dean,1636
Cornelis Van Bronckhorst,dean,Gillis Leyniers,dean,1637
Cornelis Van Bronckhorst,dean,Philips Van der Elst,dean,1637
Gillis Leyniers,dean,Philips Van der Elst,dean,1637
Jan Vaillant,dean,Lucas De Kemp,dean,1638
Jan Vaillant,dean,Maximiliaen Van der Elst,dean,1638
Lucas De Kemp,dean,Maximiliaen Van der Elst,dean,1638
Antoon Van Opstal,dean,Carel Van den Steen,dean,1639
Antoon Van Opstal,dean,Peter Van der Borcht,dean,1639
Carel Van den Steen,dean,Peter Van der Borcht,dean,1639
Gillis Van Blayenbergh,dean,Jan Claerbodts,dean,1640
Engel Van den Bosch,dean,Gillis Van Blayenbergh,dean,1640
Engel Van den Bosch,dean,Jan Claerbodts,dean,1640
Gerard Van Hoochstadt,dean,Jan Bauwens,dean,1641
Gerard Van Hoochstadt,dean,Peter Coppens,dean,1641
Jan Bauwens,dean,Peter Coppens,dean,1641
Gerard Van Hoochstadt,dean,Jan Bauwens,dean,1642
Gerard Van Hoochstadt,dean,Peter Coppens,dean,1642
Jan Bauwens,dean,Peter Coppens,dean,1642
Severyn Diertyts,dean,Willem Van Graenenbroeck,dean,1643
Leo Van Heil,dean,Severyn Diertyts,dean,1643
Leo Van Heil,dean,Willem Van Graenenbroeck,dean,1643
Jan Noveliers,dean,Jan Van Rillaert,dean,1644
Jan Noveliers,dean,Philips Van der Elst,dean,1644
Jan Van Rillaert,dean,Philips Van der Elst,dean,1644
Jan Noveliers,dean,Jan Van Rillaert,dean,1645
Jan Noveliers,dean,Philips Van der Elst,dean,1645
Jan Van Rillaert,dean,Philips Van der Elst,dean,1645
Antoon Sallaert,dean,Antoon Van den Bossche,dean,1646
Antoon Sallaert,dean,Jacques Nyts,dean,1646
Antoon Van den Bossche,dean,Jacques Nyts,dean,1646
Antoon Sallaert,dean,Antoon Van den Bossche,dean,1647
Antoon Sallaert,dean,Jacques Nyts,dean,1647
Antoon Van den Bossche,dean,Jacques Nyts,dean,1647
Albert Fierens,apprentice,Peter [b] Van Gindertaelen,master,00001648A
Gillis Leyniers,dean,Jacob Godsvriendt,dean,00001648B
Daniel Van Heil,dean,Gillis Leyniers,dean,00001648B
Daniel Van Heil,dean,Jacob Godsvriendt,dean,00001648B
Jan Claerbodts,dean,Jan Van Velthoven,dean,1649
Engel Van den Bosch,dean,Jan Claerbodts,dean,1649
Engel Van den Bosch,dean,Jan Van Velthoven,dean,1649
Jan Noveliers,dean,Jan Schoreels,dean,1650
Jan Noveliers,dean,Michiel Van Eeverenbroot,dean,1650
Jan Schoreels,dean,Michiel Van Eeverenbroot,dean,1650
Jan Noveliers,dean,Jan Schoreels,dean,1651
Jan Noveliers,dean,Michiel Van Eeverenbroot,dean,1651
Jan Schoreels,dean,Michiel Van Eeverenbroot,dean,1651
Cornelis Kerckjans,dean,Jan Jacobs,dean,00001652A
Cornelis Kerckjans,dean,Severyn Diertyts,dean,00001652A
Jan Jacobs,dean,Severyn Diertyts,dean,00001652A
Amatis Billaert,apprentice,Michiel Van Eeverenbroot,master,00001652B
Andries De Brauwer,apprentice,Willem Van Schoor,master,00001653A
Daniel Van Heil,master,Peter Hellinck,apprentice,00001653B
Hieronymus De Vadder,apprentice,Peter [b] Van Gindertaelen,master,00001653C
Gerard Meysens,apprentice,Jan Meysens,master,00001653D
Gerard Meysens,apprentice,Peter Meerts,master,00001653D
Jan Meysens,master,Peter Meerts,master,00001653D
Joos Van Craesbeeck,master,Lucas Viters,apprentice,00001653E
Charles Wautier,master,Thomas Monnorino,apprentice,00001653F
Ignatius Van der Stock,apprentice,Louis De Vadder,master,00001653G
Louis Reysels,apprentice,Steven Stekeldoore,master,00001653H
Jan Baptist Sallaert,master,Peter La Court,apprentice,00001653I
Jan Denens,apprentice,Peter Meerts,master,00001653J
Francisco Martini,master,Louis Hernese Janvier,apprentice,00001653K
Jacob Rubens,apprentice,Peter Snayers,master,00001653L
Willem De Gyn,apprentice,Willem Van Schoor,master,00001653M
Alexander Van Avont,master,Antoon Stroobant,apprentice,00001653N
Antoon Van Opstal,master,Stefano Gillis,apprentice,00001653O
 Leyniers,apprentice,Jan Jacobs,master,00001653P
Jan Baptist Sallaert,dean,Jan Van Rillaert,dean,00001653Q
Daniel Leyniers,dean,Jan Van Rillaert,dean,00001653Q
Daniel Leyniers,dean,Jan Baptist Sallaert,dean,00001653Q
Hendrick Huysmans,apprentice,Jan Baptist Sallaert,master,00001653R
Daniel Van Heil,dean,Jacob Godsvriendt,dean,1654
Christoffel Goffin,dean,Daniel Van Heil,dean,1654
Christoffel Goffin,dean,Jacob Godsvriendt,dean,1654
Jacques Antoon De Meester,dean,Jacques Nyts,dean,1655
Antoon Van den Bossche,dean,Jacques Nyts,dean,1655
Antoon Van den Bossche,dean,Jacques Antoon De Meester,dean,1655
Jacques Nyts,dean,Jan Claerbodts,dean,1656
Jacques Antoon De Meester,dean,Jacques Nyts,dean,1656
Jacques Antoon De Meester,dean,Jan Claerbodts,dean,1656
Antoon Van den Bossche,dean,Jacques Nyts,dean,1656
Antoon Van den Bossche,dean,Jacques Antoon De Meester,dean,1656
Antoon Van den Bossche,dean,Jan Claerbodts,dean,1656
Jan Baptist Sallaert,dean,Jan Van Opstal,dean,1657
Jan Baptist Sallaert,dean,Matthys Van den Bosch,dean,1657
