id,status,source
Bartholomeus Van der Meren,dean,
Jan Van Ponberghe,dean,
Carel Van den Steen,dean,
Antoon Van Schelle,master,
Abraham Gyoryns,masters sons,
Jan Gyoryns,master,
Nicolaes Van Zeunen,apprentice,
Fernand Bert,master,
Francois De Sainctsaule,apprentice,
Denys Van Alsloot,master,
Philips Britseels,apprentice,
Francois De Godts,master,
Nicolaes Van Rillaert,dean,
Carel Lambrechts,dean,
Hieronymus Van Orley,dean,
Philips Matthys,apprentice,
Jacques De Vries,master,
Christoffel Regybus,apprentice,
Willem Van Gent,master,
Francois De Streu,apprentice,
Peter Noveliers,master,
Daniel Ficquaert,apprentice,
Jan Gotemans,master,
Joris Storm,apprentice,
Jacques De Fayter,master,
Lenard Wauwermans,apprentice,
Jan Van Bronckhorst,master,
Antoon Waelrant,dean,
Gilbert Van Weenen,dean,
Nicolaes Mertens,dean,
Philips Van Bentem,dean,
Cornelis De Bloyer,dean,
Jan Baptist Grondone,dean,
Gillis Claessens,apprentice,
Hans Clunebris,master,
Aert Bleter,dean,
Adriaen Van Zinnick,dean,
Adriaen Berckay,dean,
Peter Van der Borcht,apprentice,
Antoon Sammori,master,
Francois Tons,apprentice,
Willem Van Worms,master,
Jan De Kemp,apprentice,
Jan Mattheus,master,
Jan Van Botbergh,apprentice,
Jan Trippaert,master,
Wouter Jacobs,apprentice,
Antoon Van der Meren,master,
Hans Mennens,dean,
Carel Herssel,dean,
David Noveliers,dean,
Willem De Moy,apprentice,
Francois Van Schuddeput,master,
Augustyn Van der Venne,dean,
Gaspar De Craeyer,dean,
Jacques Regaets,dean,
Jan Bauwens,dean,
Maerten Heunis,dean,
Michiel De Bordeaux,dean,
Gillis Leyniers,dean,
Gerard Van Hoochstadt,dean,
Willem Maheu,dean,
Jan De Paege,dean,
Gaspar Van Schoor,dean,
Dominicus Seghers,dean,
Maximiliaen Van der Elst,dean,
Francois Van Obberghen,dean,
Antoon Van Opstal,dean,
Jan Van Rillaert,dean,
Jan Vaillant,dean,
Cornelis Van Bronckhorst,dean,
Jan Claerbodts,apprentice,
Lucas De Kemp,master,
Antoon Sallaert,apprentice,
Severyn Diertyts,master,
Philips Van der Elst,dean,
Gillis Van Blayenbergh,dean,
Engel Van den Bosch,dean,
Peter Coppens,dean,
Willem Van Graenenbroeck,dean,
Leo Van Heil,dean,
Jan Noveliers,dean,
Jacques Nyts,dean,
Antoon Van den Bossche,dean,
Albert Fierens,dean,
Peter [b] Van Gindertaelen,dean,
Daniel Van Heil,dean,
Jacob Godsvriendt,dean,
Jan Van Velthoven,dean,
Jan Schoreels,dean,
Michiel Van Eeverenbroot,dean,
Cornelis Kerckjans,dean,
Jan Jacobs,dean,
Amatis Billaert,dean,
Andries De Brauwer,dean,
Willem Van Schoor,dean,
Peter Hellinck,dean,
Hieronymus De Vadder,dean,
Gerard Meysens,dean,
Jan Meysens,dean,
Peter Meerts,dean,
Lucas Viters,dean,
Joos Van Craesbeeck,dean,
Thomas Monnorino,dean,
Charles Wautier,dean,
Ignatius Van der Stock,dean,
Louis De Vadder,dean,
Louis Reysels,dean,
Steven Stekeldoore,dean,
Peter La Court,dean,
Jan Baptist Sallaert,dean,
Jan Denens,dean,
Louis Hernese Janvier,dean,
Francisco Martini,dean,
Jacob Rubens,dean,
Peter Snayers,dean,
Willem De Gyn,dean,
Antoon Stroobant,dean,
Alexander Van Avont,dean,
Stefano Gillis,dean,
 Leyniers,dean,
Daniel Leyniers,dean,
Hendrick Huysmans,dean,
Christoffel Goffin,dean,
Jacques Antoon De Meester,dean,
Jan Van Opstal,dean,
Matthys Van den Bosch,dean,
Carel De Swert,dean,
Jan Arys,dean,
Jan Cortois,dean,
Hendrick Van Bronckhorst,dean,
Francois Van Elewyck,dean,
Coryn Haccadron,dean,
Willem Piscador,dean,
Gillis Van Tilborgh,dean,
Jan Raes,dean,
Matthys Van den Steen,dean,
Peter Van der Maelen,dean,
Jan [b] Jacobs,dean,
Francois Volders,dean,
Lucas Achtschellinck,dean,
Francois Le Pies,dean,
Simon Polkasier,dean,
Melchior Sallaert,dean,
Francois Ysenbaut,dean,
Jan Gillis,dean,
Jan Godtsvriendt,dean,
Jan Ardyn,dean,
Peter Van den Winckel,dean,
Jan [b] Raes,dean,
Daniel Vaillant,dean,
Artus De Kemp,dean,
Francois Coppens,dean,
Judocus De Ridder,dean,
Hendrick Van den Steen,dean,
Bartholomeus Cortois,dean,
Antoon Van Noye,dean,
Jacob Carlier,dean,
Jan Baptist Huygens,dean,
Jan Baptist De Champaigne,dean,
Hendrick Libert,dean,
Johannes Baptist De Backer,dean,
Peter Jan Bout,dean,
Michiel Van Bronckhorst,dean,
Peter Cortois,dean,
Maerten De la Court,dean,
Peter Seghers,dean,
Jan Van Avont,dean,
Peter Herrebos,dean,
David Teniers,dean,
Gelaude Daure Cour,dean,
Cornelis Coppens,apprentice,
Jacob Nys,master,
Reynold Cortkens,dean,
Peter De Paepe,dean,
Peter Van Orley,dean,
Francois [b] Coppens,dean,
Peter De Donderberghen,dean,
Jan Francois Ysenbaut,dean,
Peter Pepersack,dean,
Gerard Antoon Van Reykel,dean,
Francois Thielen,dean,
Antoon Goosens,dean,
Francois Berbiers,dean,
Michiel Coolemans,dean,
Reynier Vrientschap,dean,
Maerten De Kerck,dean,
Michiel Lefebure,dean,
Jan Odeyn,apprentice,
Jan Baptist De Weerdt,master,
Judocus Van Dormael,apprentice,
Jan Baptist De Mediena,master,
Hieronymus Galle,apprentice,
Jacob Huysmans,master,
Willem Van Rillaert,apprentice,
Erasmus Crock,master,
Jan Baptist Crick,apprentice,
Adriaen Francois Baudewyns,master,
Peter De Backer,master,
Christiaen Crocx,apprentice,
Theodoor Van Heil,master,
Jan Baptist Timmermans,apprentice,
Antoon Krick,master,
Laurys Van Rossum,apprentice,
Leo Van Kerckhove,master,
Jan Baptist Van Heil,apprentice,
Dromsens Smail,master,
Peter Lambillot,apprentice,
Andries Van der Plancken,master,
Carolus Van Baeckegom,apprentice,
Michiel Allaert,master,
Lieven Illewardus Van Achter,apprentice,
Jacob Van der Heyden,master,
Gillis Wauters,apprentice,
Antoon De Vorster,master,
Peter Leermans,apprentice,
 Cotina,master,
 Van der Borcht,apprentice,
Lambert De Hondt,master,
Judocus Van Overstaeten,apprentice,
Jacob De Rock,master,
Antoon De Veuster,apprentice,
Adriaen Frankien,master,
Adriaen Thielemans,dean,
Laurys Casier,dean,
Ferdinand Colyns,dean,
Carel Faeghe,apprentice,
Jan Baptist Meskens,master,
Francois De Coster,dean,
Francois Reps,dean,
[anonymous] ,dean,
Joris Ringheler,dean,
Thomas Pins,dean,
Jan Timmermans,dean,
Willem Asselman,dean,
Hieronymus Ringheler,dean,
Egidius Jan Schoreels,dean,
Dionysus Van Waeyenbergh,dean,
[NN] Willemont,dean,
Johannes Pletinckx,dean,
Raymandus Ringheler,dean,
Matthys Schoevaert,dean,
Quireyn Van Nuvel,dean,
Hendrick Cortois,dean,
Carel Van Geel,dean,
Peter Joseph Le Fils,dean,
Jan Vaele,dean,
Victor Janssens,dean,
Jan Baptist Maeseler,dean,
Hubert Cosyn,dean,
Reynier Ringheler,dean,
Antoon Van Waeyenbergh,dean,
Hieronymus Breughel,dean,
Egidius Waeyenborch,apprentice,
Johannes Joseph Rottenburch,master,
